model_feature,importance,model,run_version_dark_fleet_rf
fishing,1043484.55058,emissions_regression,_v20260304
length_size_bin_4,986632.50268,emissions_regression,_v20260304
length_size_bin_3,335490.21384,emissions_regression,_v20260304
length_size_bin_1,191474.19013,emissions_regression,_v20260304
pixel_water_area_km2,180048.31749,emissions_regression,_v20260304
length_size_bin_2,166621.6693,emissions_regression,_v20260304
ais_reception_positions_per_day_class_B,111332.95902,emissions_regression,_v20260304
distance_to_top_port_m,103236.87634,emissions_regression,_v20260304
mean_distance_from_shore_m,96957.47637,emissions_regression,_v20260304
ais_reception_positions_per_day_class_A,94155.45671,emissions_regression,_v20260304
mean_elevation_m,86012.49189,emissions_regression,_v20260304
mean_distance_from_port_m,66130.69838,emissions_regression,_v20260304
satellite_receiver_prop,64377.65051,emissions_regression,_v20260304
terrestrial_receiver_prop,45083.45029,emissions_regression,_v20260304
wave_period_mean,36759.52371,emissions_regression,_v20260304
ocean,30069.74053,emissions_regression,_v20260304
wave_height_mean,29967.87903,emissions_regression,_v20260304
dynamic_receiver_prop,29853.82312,emissions_regression,_v20260304
wind_speed_mean,27544.67564,emissions_regression,_v20260304
days_since_start,14224.77684,emissions_regression,_v20260304
post_2020,3896.89423,emissions_regression,_v20260304
ais_reception_positions_per_day_class_A,98595.22282,detections_classification,_v20260304
ais_reception_positions_per_day_class_B,97132.83733,detections_classification,_v20260304
length_bin_min,92242.20532,detections_classification,_v20260304
fishing,79110.45503,detections_classification,_v20260304
distance_to_top_port_m,74542.81576,detections_classification,_v20260304
mean_distance_from_port_m,72264.95774,detections_classification,_v20260304
length_size_bin,60563.19759,detections_classification,_v20260304
mean_distance_from_shore_m,44130.10629,detections_classification,_v20260304
pixel_water_area_km2,43397.74588,detections_classification,_v20260304
mean_elevation_m,35644.03654,detections_classification,_v20260304
wave_period_mean,31709.62676,detections_classification,_v20260304
wave_height_mean,30479.38767,detections_classification,_v20260304
ocean,15024.95027,detections_classification,_v20260304
wind_speed_mean,14324.33545,detections_classification,_v20260304
days_since_start,8599.94433,detections_classification,_v20260304
pixel_water_area_km2,0.17891,detections_regression,_v20260304
mean_distance_from_shore_m,0.08517,detections_regression,_v20260304
mean_elevation_m,0.08387,detections_regression,_v20260304
distance_to_top_port_m,0.07651,detections_regression,_v20260304
ais_reception_positions_per_day_class_B,0.07131,detections_regression,_v20260304
ais_reception_positions_per_day_class_A,0.0713,detections_regression,_v20260304
fishing,0.05552,detections_regression,_v20260304
mean_distance_from_port_m,0.04603,detections_regression,_v20260304
length_bin_min,0.04492,detections_regression,_v20260304
ocean,0.04321,detections_regression,_v20260304
length_size_bin,0.0416,detections_regression,_v20260304
days_since_start,0.03479,detections_regression,_v20260304
wind_speed_mean,0.03058,detections_regression,_v20260304
satellite_receiver_prop,0.02871,detections_regression,_v20260304
terrestrial_receiver_prop,0.02437,detections_regression,_v20260304
wave_period_mean,0.02376,detections_regression,_v20260304
wave_height_mean,0.01549,detections_regression,_v20260304
dynamic_receiver_prop,0.01538,detections_regression,_v20260304
