year,receiver_type,emissions_co2_mt,n_distinct_ssvid
2019,terrestrial,500215009.2128915,414618
2022,terrestrial,343332538.1189813,465437
2017,satellite,372417661.70136184,124809
2023,satellite,329573631.4317435,208976
2024,dynamic,493583639.6622468,545349
2019,satellite,398994914.59070754,151976
2018,satellite,393958355.04474443,193423
2020,terrestrial,486627860.02746344,431977
2021,satellite,429012933.34372544,178831
2024,satellite,390430435.2406341,502018
2022,dynamic,376359177.95998406,472952
2017,terrestrial,474083837.554217,340015
2023,dynamic,519306797.06484526,517317
2023,unknown,4882.847873305381,9700
2024,terrestrial,283591591.3683695,528521
2021,dynamic,31571386.63201218,239588
2021,terrestrial,504981918.34331775,459368
2020,satellite,402674769.13843876,163063
2018,terrestrial,482851453.9120469,377578
2023,terrestrial,236327585.61936453,475633
2022,satellite,319163651.9941904,187491
2018,total,876809808.9567893,381303
2022,total,1038855368.0731547,498180
2024,total,1167605666.2712507,570425
2020,total,889302629.1659031,436779
2017,total,846501499.2555785,345611
2019,total,899209923.8035977,418366
2023,total,1085212896.9638264,534028
2021,total,965566238.3190558,469554
